r_primary_property_type_id,r_primary_property_type
1,1-4 stories - Multifamily Low-rise
2,10+ stories - Multifamily High-rise
3,5-10 stories - Multifamily Mid-rise
4,Bank Branch
5,Convenience Store without Gas Station
6,Data Center
7,Distribution Center
8,Enclosed Mall
9,Financial Office
10,General Medical & Surgical Hospital
11,Hotel
12,Laboratory
13,Lifestyle Center
14,Manufacturing/Industrial Plant
15,Medical Office
16,Non-Refrigerated Warehouse
17,Office
18,Other
19,Other - Healthcare
20,Other - Leisure
21,Other - Multifamily
22,Other - Office
23,Other - Warehouse/Storage
24,Pre-school/Daycare
25,Refrigerated Warehouse
26,Residence Hall/Dormitory
27,Restaurant
28,Retail Store
29,Self-Storage Facility
30,Senior Care Community
31,Single Family Home
32,Strip Mall
33,Supermarket/Grocery Store
34,Wholesale Club/Supercenter
